date,,maker,electric_vehicles_sold,YEAR,vehicle_category,,,,,,,,,,
01-07-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,BMW India,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,Volvo Auto India,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,KIA Motors,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,BMW India,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,Volvo Auto India,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,KIA Motors,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,PCA Automobiles,0,2021,4-Wheelers,,,,,,,,,,
01-07-2021,,KIA Motors,0,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Tata Motors,322,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,MG Motor,118,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Mahindra & Mahindra,171,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Hyundai Motor,12,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Mercedes -Benz AG,3,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Tata Motors,1409,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,MG Motor,177,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Mahindra & Mahindra,611,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,BYD India,15,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Hyundai Motor,17,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,BMW India,12,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Mercedes -Benz AG,8,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Tata Motors,364,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,MG Motor,265,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Mahindra & Mahindra,4880,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,BYD India,156,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Hyundai Motor,42,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,PCA Automobiles,181,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,BMW India,51,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Mercedes -Benz AG,8,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,Volvo Auto India,27,2021,4-Wheelers,,,,,,,,,,
01-08-2021,,KIA Motors,30,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Tata Motors,137,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,MG Motor,39,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Mahindra & Mahindra,78,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Hyundai Motor,3,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Tata Motors,2097,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,MG Motor,181,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Mahindra & Mahindra,622,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,BYD India,30,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Hyundai Motor,19,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,BMW India,6,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Mercedes -Benz AG,4,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Tata Motors,3212,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,MG Motor,351,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Mahindra & Mahindra,3457,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,BYD India,110,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Hyundai Motor,129,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,PCA Automobiles,245,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,BMW India,57,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Mercedes -Benz AG,9,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Volvo Auto India,34,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,KIA Motors,36,2021,4-Wheelers,,,,,,,,,,
01-09-2021,,Tata Motors,572,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,MG Motor,128,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Mahindra & Mahindra,106,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Hyundai Motor,10,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Mercedes -Benz AG,2,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Tata Motors,2169,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,MG Motor,173,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Mahindra & Mahindra,787,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,BYD India,36,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Hyundai Motor,39,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,BMW India,4,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Mercedes -Benz AG,2,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Tata Motors,3671,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,MG Motor,877,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Mahindra & Mahindra,2574,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,BYD India,140,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Hyundai Motor,121,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,PCA Automobiles,254,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,BMW India,76,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Mercedes -Benz AG,14,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Volvo Auto India,33,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,KIA Motors,30,2021,4-Wheelers,,,,,,,,,,
01-10-2021,,Tata Motors,696,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,MG Motor,232,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Mahindra & Mahindra,171,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Hyundai Motor,18,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Mercedes -Benz AG,1,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Tata Motors,2264,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,MG Motor,194,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Mahindra & Mahindra,866,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,BYD India,32,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Hyundai Motor,45,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,BMW India,4,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Mercedes -Benz AG,1,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Tata Motors,3823,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,MG Motor,935,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Mahindra & Mahindra,2174,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,BYD India,89,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Hyundai Motor,88,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,PCA Automobiles,169,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,BMW India,81,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Mercedes -Benz AG,23,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Volvo Auto India,26,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,KIA Motors,22,2021,4-Wheelers,,,,,,,,,,
01-11-2021,,Tata Motors,584,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,MG Motor,303,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Mahindra & Mahindra,204,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Hyundai Motor,10,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Mercedes -Benz AG,2,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Tata Motors,1931,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,MG Motor,234,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Mahindra & Mahindra,1085,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,BYD India,33,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Hyundai Motor,53,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,BMW India,19,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Mercedes -Benz AG,3,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Tata Motors,3388,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,MG Motor,913,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Mahindra & Mahindra,2013,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,BYD India,80,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Hyundai Motor,141,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,PCA Automobiles,89,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,BMW India,64,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Mercedes -Benz AG,8,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,Volvo Auto India,36,2021,4-Wheelers,,,,,,,,,,
01-12-2021,,KIA Motors,21,2021,4-Wheelers,,,,,,,,,,
